county,countyLabel,governor,governorLabel,start,end
Q1112885,Mombasa,Q5679565,Hassan Joho,2013-03-27,2017-08-08
Q952571,Kwale,Q16212428,Salim Mvurya,2013-03-27,2017-08-08
Q1741307,Kilifi,Q16730244,Amason Kingi,2013-03-27,2017-08-08
Q383150,Tana River,"",Tuneya Dado,2013-03-27,2017-08-08
Q1951652,Lamu,Q23883198,Issa Timamy,2013-03-27,2017-08-08
Q7193788,Taita-Taveta,Q59656229,John Mruttu,2013-03-27,2017-08-08
Q1494292,Garissa,Q17305588,Nathif Jama Adam,2013-03-27,2017-08-08
Q1852209,Wajir,"",Ahmed Abdullahi Mohamad,2013-03-27,2017-08-08
Q1477874,Mandera,"",Ibrahim Roba Ali,2013-03-27,2017-08-08
Q1323683,Marsabit,"",Ukur Yattani,2013-03-27,2017-08-08
Q1499046,Isiolo,Q53871510,Godana Doyo,2013-03-27,2017-08-08
Q15045704,Meru,Q7175990,Peter Munya,2013-03-27,2017-08-08
Q2189432,Tharaka,"",Samuel Ragwa,2013-03-27,2017-08-08
Q1335242,Embu,Q16150817,Martin Wambora,2013-03-27,2017-08-08
Q1722597,Kitui,Q32541499,Julius Malombe,2013-03-27,2017-08-08
Q1882639,Machakos,Q16212421,Alfred Mutua,2013-03-27,2017-08-08
Q473717,Makueni,Q6418829,Kivutha Kibwana,2013-03-27,2017-08-08
Q1714352,Nyandarua,Q16886396,Daniel Waithaka,2013-03-27,2017-08-08
Q749665,Nyeri,Q28837057,Wamathai Samuel Githaiga,2013-03-27,2017-08-08
Q2230311,Kirinyaga,Q59726037,Joseph Ndathi,2013-03-27,2017-08-08
Q1781723,Murang'a,Q16730058,Mwangi wa Iria,2013-03-27,2017-08-08
Q2575594,Kiambu,Q8013849,William Gitau,2013-03-27,2017-08-08
Q1633078,Turkana,Q16846944,Josphat Nanok,2013-03-27,2017-08-08
Q590860,West Pokot,"",Simon Kitalei,2013-03-27,2017-08-08
Q2096419,Samburu,Q16215853,Moses Kasaine,2013-03-27,2017-08-08
Q1278653,Trans-Nzoia,Q105972509,Patrick Khaemba,2013-03-27,2017-08-08
Q1121429,Uasin Gishu,Q48009463,Jackson Mandago,2013-03-27,2017-08-08
Q15216433,Elgeyo-Marakwet,Q48472534,Alex Tolgos,2013-03-27,2017-08-08
Q1964569,Nandi,"",Lagat Cleophas,2013-03-27,2017-08-08
Q808201,Baringo,Q17332524,Benjamin Cheboi,2013-03-27,2017-08-08
Q1800699,Laikipia,Q18001353,Joshua Irungu,2013-03-27,2017-08-08
Q1852202,Nakuru,Q29446300,Kinuthia Mbugua,2013-03-27,2017-08-08
Q1852220,Narok,"",Samuel ole Tunai,2013-03-27,2017-08-08
Q285072,Kajiado,Q28837125,David ole Nkedianye,2013-03-27,2017-08-08
Q1739252,Kericho,"",Paul Kiprono,2013-03-27,2017-08-08
Q891952,Bomet,Q6077048,Isaac Ruto,2013-03-27,2017-08-08
Q1721867,Kakamega,Q8039607,Wycliffe Oparanya,2013-03-27,2017-08-08
Q1313202,Vihiga,Q6915674,Moses Akaranga,2013-03-27,2017-08-08
Q2928204,Bungoma,Q16845849,Ken Lusaka,2013-03-27,2017-08-08
Q1017519,Busia,Q7563913,Sospeter Ojaamong,2013-03-27,2017-08-08
Q3482913,Siaya,"",Cornel Rasanga,2013-03-27,2017-08-08
Q1743809,Kisumu,Q16730099,Jack Ranguma,2013-03-27,2017-08-08
Q1625834,Homa Bay,Q59656082,Cyprian Awiti,2013-03-27,2017-08-08
Q429955,Migori,"",Zacharia Obado,2013-03-27,2017-08-08
Q1743730,Kisii,Q60544883,James Ongwae,2013-03-27,2017-08-08
Q1569613,Nyamira,"",John Obiero,2013-03-27,2017-08-08
Q3335223,Nairobi,Q16189345,Evans Kidero,2013-03-27,2017-08-08
